faculty_id,first_name,last_name,email,phone,department,department_code,qualification,designation,specialization,experience_years,joining_year,subject_code,subject_name,subject_type,year,semester,_ingestion_time,_source_file
FACCE001,Sanjay,Desai,sanjay.desai@edusense.edu.in,9823756669,Computer Engineering,CE,M.Tech,Associate Professor,Computer Networks,10,2014,CE101,Engineering Mathematics I,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE002,Madhuri,Reddy,madhuri.reddy@edusense.edu.in,9822575562,Computer Engineering,CE,Ph.D,Assistant Professor,Data Structures,8,2016,CE102,Engineering Physics,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE003,Komal,Bansal,komal.bansal@edusense.edu.in,9897226012,Computer Engineering,CE,M.Tech,Assistant Professor,DBMS,3,2021,CE103,Basic Electrical Engineering,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE004,Madhuri,Shinde,madhuri.shinde@edusense.edu.in,9810872248,Computer Engineering,CE,Ph.D,Assistant Professor,Software Engineering,21,2003,CE104,Engineering Mechanics,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE005,Ashok,Gaikwad,ashok.gaikwad@edusense.edu.in,9855176955,Computer Engineering,CE,Ph.D,Professor,DBMS,15,2009,CE105,Programming for Problem Solving,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE006,Rekha,Reddy,rekha.reddy@edusense.edu.in,9891030736,Computer Engineering,CE,M.E.,Assistant Professor,Operating Systems,14,2010,CE106,Workshop Practice Lab,Lab,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE007,Manju,Joshi,manju.joshi@edusense.edu.in,9820576383,Computer Engineering,CE,Ph.D,Assistant Professor,Cyber Security,8,2016,CE201,Engineering Mathematics II,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE008,Bhavna,Mukerjee,bhavna.mukerjee@edusense.edu.in,9816150444,Computer Engineering,CE,Ph.D,Associate Professor,Machine Learning,25,1999,CE202,Engineering Chemistry,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE009,Shweta,Bajaj,shweta.bajaj@edusense.edu.in,9861019678,Computer Engineering,CE,Ph.D,Assistant Professor,Machine Learning,10,2014,CE203,Basic Electronics Engineering,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE010,Sapna,Kamath,sapna.kamath@edusense.edu.in,9838119557,Computer Engineering,CE,Ph.D,Associate Professor,Operating Systems,14,2010,CE204,Environmental Studies,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE001,Sanjay,Desai,sanjay.desai@edusense.edu.in,9823756669,Computer Engineering,CE,M.Tech,Associate Professor,Computer Networks,10,2014,CE205,Engineering Graphics,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE002,Madhuri,Reddy,madhuri.reddy@edusense.edu.in,9822575562,Computer Engineering,CE,Ph.D,Assistant Professor,Data Structures,8,2016,CE206,Programming Lab,Lab,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE003,Komal,Bansal,komal.bansal@edusense.edu.in,9897226012,Computer Engineering,CE,M.Tech,Assistant Professor,DBMS,3,2021,CE301,Data Structures,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE004,Madhuri,Shinde,madhuri.shinde@edusense.edu.in,9810872248,Computer Engineering,CE,Ph.D,Assistant Professor,Software Engineering,21,2003,CE302,Digital Logic Design,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE005,Ashok,Gaikwad,ashok.gaikwad@edusense.edu.in,9855176955,Computer Engineering,CE,Ph.D,Professor,DBMS,15,2009,CE303,Computer Organization,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE006,Rekha,Reddy,rekha.reddy@edusense.edu.in,9891030736,Computer Engineering,CE,M.E.,Assistant Professor,Operating Systems,14,2010,CE304,Object Oriented Programming,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE007,Manju,Joshi,manju.joshi@edusense.edu.in,9820576383,Computer Engineering,CE,Ph.D,Assistant Professor,Cyber Security,8,2016,CE305,Data Structures Lab,Lab,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE008,Bhavna,Mukerjee,bhavna.mukerjee@edusense.edu.in,9816150444,Computer Engineering,CE,Ph.D,Associate Professor,Machine Learning,25,1999,CE306,Digital Systems Lab,Lab,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE009,Shweta,Bajaj,shweta.bajaj@edusense.edu.in,9861019678,Computer Engineering,CE,Ph.D,Assistant Professor,Machine Learning,10,2014,CE401,Discrete Mathematics,Core,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE010,Sapna,Kamath,sapna.kamath@edusense.edu.in,9838119557,Computer Engineering,CE,Ph.D,Associate Professor,Operating Systems,14,2010,CE402,Database Management Systems,Core,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE001,Sanjay,Desai,sanjay.desai@edusense.edu.in,9823756669,Computer Engineering,CE,M.Tech,Associate Professor,Computer Networks,10,2014,CE403,Microprocessors,Core,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE002,Madhuri,Reddy,madhuri.reddy@edusense.edu.in,9822575562,Computer Engineering,CE,Ph.D,Assistant Professor,Data Structures,8,2016,CE404,Operating Systems,Core,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE003,Komal,Bansal,komal.bansal@edusense.edu.in,9897226012,Computer Engineering,CE,M.Tech,Assistant Professor,DBMS,3,2021,CE405,Database Management Systems Lab,Lab,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE004,Madhuri,Shinde,madhuri.shinde@edusense.edu.in,9810872248,Computer Engineering,CE,Ph.D,Assistant Professor,Software Engineering,21,2003,CE406,Microprocessors Lab,Lab,2,4,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE005,Ashok,Gaikwad,ashok.gaikwad@edusense.edu.in,9855176955,Computer Engineering,CE,Ph.D,Professor,DBMS,15,2009,CE501,Design and Analysis of Algorithms,Core,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE006,Rekha,Reddy,rekha.reddy@edusense.edu.in,9891030736,Computer Engineering,CE,M.E.,Assistant Professor,Operating Systems,14,2010,CE502,Computer Networks,Core,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE007,Manju,Joshi,manju.joshi@edusense.edu.in,9820576383,Computer Engineering,CE,Ph.D,Assistant Professor,Cyber Security,8,2016,CE503,Software Engineering,Core,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE008,Bhavna,Mukerjee,bhavna.mukerjee@edusense.edu.in,9816150444,Computer Engineering,CE,Ph.D,Associate Professor,Machine Learning,25,1999,CE504,Theory of Computation,Core,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE009,Shweta,Bajaj,shweta.bajaj@edusense.edu.in,9861019678,Computer Engineering,CE,Ph.D,Assistant Professor,Machine Learning,10,2014,CE505,Computer Networks Lab,Lab,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE010,Sapna,Kamath,sapna.kamath@edusense.edu.in,9838119557,Computer Engineering,CE,Ph.D,Associate Professor,Operating Systems,14,2010,CE506,Elective I: Web Technologies,Elective,3,5,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE001,Sanjay,Desai,sanjay.desai@edusense.edu.in,9823756669,Computer Engineering,CE,M.Tech,Associate Professor,Computer Networks,10,2014,CE601,Compiler Design,Core,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE002,Madhuri,Reddy,madhuri.reddy@edusense.edu.in,9822575562,Computer Engineering,CE,Ph.D,Assistant Professor,Data Structures,8,2016,CE602,Machine Learning,Core,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE003,Komal,Bansal,komal.bansal@edusense.edu.in,9897226012,Computer Engineering,CE,M.Tech,Assistant Professor,DBMS,3,2021,CE603,Distributed Systems,Core,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE004,Madhuri,Shinde,madhuri.shinde@edusense.edu.in,9810872248,Computer Engineering,CE,Ph.D,Assistant Professor,Software Engineering,21,2003,CE604,Information Security,Core,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE005,Ashok,Gaikwad,ashok.gaikwad@edusense.edu.in,9855176955,Computer Engineering,CE,Ph.D,Professor,DBMS,15,2009,CE605,Information Security Lab,Lab,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE006,Rekha,Reddy,rekha.reddy@edusense.edu.in,9891030736,Computer Engineering,CE,M.E.,Assistant Professor,Operating Systems,14,2010,CE606,Elective II: Cloud Computing,Elective,3,6,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE007,Manju,Joshi,manju.joshi@edusense.edu.in,9820576383,Computer Engineering,CE,Ph.D,Assistant Professor,Cyber Security,8,2016,CE701,Artificial Intelligence,Core,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE008,Bhavna,Mukerjee,bhavna.mukerjee@edusense.edu.in,9816150444,Computer Engineering,CE,Ph.D,Associate Professor,Machine Learning,25,1999,CE702,Big Data Analytics,Core,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE009,Shweta,Bajaj,shweta.bajaj@edusense.edu.in,9861019678,Computer Engineering,CE,Ph.D,Assistant Professor,Machine Learning,10,2014,CE703,Embedded Systems,Core,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE010,Sapna,Kamath,sapna.kamath@edusense.edu.in,9838119557,Computer Engineering,CE,Ph.D,Associate Professor,Operating Systems,14,2010,CE704,Project Phase I,Core,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE001,Sanjay,Desai,sanjay.desai@edusense.edu.in,9823756669,Computer Engineering,CE,M.Tech,Associate Professor,Computer Networks,10,2014,CE705,Artificial Intelligence Lab,Lab,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE002,Madhuri,Reddy,madhuri.reddy@edusense.edu.in,9822575562,Computer Engineering,CE,Ph.D,Assistant Professor,Data Structures,8,2016,CE706,Elective III: Blockchain,Elective,4,7,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE003,Komal,Bansal,komal.bansal@edusense.edu.in,9897226012,Computer Engineering,CE,M.Tech,Assistant Professor,DBMS,3,2021,CE801,DevOps Engineering,Core,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE004,Madhuri,Shinde,madhuri.shinde@edusense.edu.in,9810872248,Computer Engineering,CE,Ph.D,Assistant Professor,Software Engineering,21,2003,CE802,Cyber Security,Core,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE005,Ashok,Gaikwad,ashok.gaikwad@edusense.edu.in,9855176955,Computer Engineering,CE,Ph.D,Professor,DBMS,15,2009,CE803,Project Phase II,Core,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE006,Rekha,Reddy,rekha.reddy@edusense.edu.in,9891030736,Computer Engineering,CE,M.E.,Assistant Professor,Operating Systems,14,2010,CE804,Internship,Core,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE007,Manju,Joshi,manju.joshi@edusense.edu.in,9820576383,Computer Engineering,CE,Ph.D,Assistant Professor,Cyber Security,8,2016,CE805,Seminar,Core,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACCE008,Bhavna,Mukerjee,bhavna.mukerjee@edusense.edu.in,9816150444,Computer Engineering,CE,Ph.D,Associate Professor,Machine Learning,25,1999,CE806,Elective IV: IoT Systems,Elective,4,8,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT011,Dinesh,Kumar,dinesh.kumar@edusense.edu.in,9831931511,Information Technology,IT,Ph.D,Associate Professor,IoT,10,2014,IT101,Engineering Mathematics I,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT012,Renuka,Naik,renuka.naik@edusense.edu.in,9853524491,Information Technology,IT,M.Tech,Associate Professor,IoT,25,1999,IT102,Engineering Physics,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT013,Kavita,Bansal,kavita.bansal@edusense.edu.in,9845935572,Information Technology,IT,M.Tech,Assistant Professor,Network Administration,13,2011,IT103,Basic Electrical Engineering,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT014,Manoj,Soni,manoj.soni@edusense.edu.in,9897971488,Information Technology,IT,Ph.D,Associate Professor,IoT,13,2011,IT104,Engineering Mechanics,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT015,Chitra,Patil,chitra.patil@edusense.edu.in,9843101783,Information Technology,IT,Ph.D,Associate Professor,Data Analytics,11,2013,IT105,Programming for Problem Solving,Core,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT016,Kapil,Kapoor,kapil.kapoor@edusense.edu.in,9858586340,Information Technology,IT,Ph.D,Assistant Professor,Network Administration,21,2003,IT106,Workshop Practice Lab,Lab,1,1,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT017,Rakesh,Thakur,rakesh.thakur@edusense.edu.in,9824716857,Information Technology,IT,M.Tech,Assistant Professor,Web Technologies,5,2019,IT201,Engineering Mathematics II,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT018,Swati,Tiwari,swati.tiwari@edusense.edu.in,9861220073,Information Technology,IT,M.E.,Assistant Professor,Network Administration,5,2019,IT202,Engineering Chemistry,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT019,Renuka,Chawla,renuka.chawla@edusense.edu.in,9882070937,Information Technology,IT,M.Tech,Assistant Professor,Information Security,3,2021,IT203,Basic Electronics Engineering,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT020,Dinesh,Sen,dinesh.sen@edusense.edu.in,9870897765,Information Technology,IT,Ph.D,Professor,Data Analytics,16,2008,IT204,Environmental Studies,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT011,Dinesh,Kumar,dinesh.kumar@edusense.edu.in,9831931511,Information Technology,IT,Ph.D,Associate Professor,IoT,10,2014,IT205,Engineering Graphics,Core,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT012,Renuka,Naik,renuka.naik@edusense.edu.in,9853524491,Information Technology,IT,M.Tech,Associate Professor,IoT,25,1999,IT206,Programming Lab,Lab,1,2,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT013,Kavita,Bansal,kavita.bansal@edusense.edu.in,9845935572,Information Technology,IT,M.Tech,Assistant Professor,Network Administration,13,2011,IT301,Data Structures,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT014,Manoj,Soni,manoj.soni@edusense.edu.in,9897971488,Information Technology,IT,Ph.D,Associate Professor,IoT,13,2011,IT302,Discrete Mathematics,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT015,Chitra,Patil,chitra.patil@edusense.edu.in,9843101783,Information Technology,IT,Ph.D,Associate Professor,Data Analytics,11,2013,IT303,Web Technologies,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT016,Kapil,Kapoor,kapil.kapoor@edusense.edu.in,9858586340,Information Technology,IT,Ph.D,Assistant Professor,Network Administration,21,2003,IT304,Database Systems,Core,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
FACIT017,Rakesh,Thakur,rakesh.thakur@edusense.edu.in,9824716857,Information Technology,IT,M.Tech,Assistant Professor,Web Technologies,5,2019,IT305,Web Technologies Lab,Lab,2,3,2026-03-15T02:27:20.866977+00:00,faculty_subject_mapping.csv
